,Name,pcnt_spend_top,pcnt_spend_bottom,bottomtop_pcnt_diff,p_growth_12,p_growth_3,p_growth_6
0,Food & non-alcoholic drinks,7.529583400875345,14.847161572052403,7.317578171177058,16.236867239732568,4.6431642304385266,9.936766034327011
1,"Alcoholic drink, tobacco & narcotics",1.6858485978278488,3.541969917515769,1.8561213196879203,6.025104602510463,0.7154213036566023,1.6038492381716118
2,Clothing & footwear,4.506402982655212,3.6875303250849103,-0.8188726575703016,8.508604206500962,5.77819198508854,5.189990732159401
3,"Housing (net)1, fuel & power",8.364402658453558,24.502668607472103,16.138265949018546,26.654740608228977,9.175019275250582,10.3663289166017
4,Household goods & services,7.707894310260982,6.647258612324114,-1.0606356979368678,10.521582733812952,3.4511784511784582,4.418011894647411
5,Health,1.0860755389852488,0.8733624454148473,-0.21271309357040147,4.286964129483819,2.3175965665236076,2.2298456260720485
6,Transport,16.890906143621333,8.005822416302767,-8.885083727318566,8.9300080450523,-2.7298850574712525,1.8811136192626032
7,Communication3,2.3180418220132926,4.075691411935954,1.7576495899226612,3.2674118658641422,0.0833333333333286,0.0
8,Recreation & culture3,13.84341060139407,11.11111111111111,-2.7322994902829585,5.835543766578257,1.785714285714293,2.6586620926243643
9,Education,3.3554871129842763,,,3.1897926634768736,3.1897926634768736,3.1897926634768736
10,Restaurants & hotels,10.034041173609985,6.453178068898594,-3.5808631047113915,9.579831932773114,2.6771653543307132,5.6726094003241485
11,Miscellaneous goods & services,7.270222078132599,6.501698204754974,-0.7685238733776245,5.0656660412758026,1.725703905540423,3.5120147874306813
12,Other expenditure items,15.407683579186255,9.752547307132462,-5.655136272053793,,,
